,브랜드명,중분류업종,창업비용(단위:천원),본사업력(년),본사부채비율(%),수익성,공정성,성장성,안정성
41,또봉이통닭,치킨,28060,8,17,4,3,3,2
42,59피자(오구피자),피자,53900,14,75,4,3,4,3
43,두찜,한식,47000,6,180,5,3,5,4
44,도미노피자,피자,248250,34,71,4,3,4,3
45,김가네김밥,기타 외식,74100,17,134,3,3,3,3
46,쥬씨(JUICY),음료 (커피 외),71380,8,120,2,3,2,3
47,간이역,주점,33280,22,32,2,3,2,2
48,맥도날드,패스트푸드,224750,37,92,2,3,3,3
49,써브웨이(Subway),패스트푸드,806777,26,1327,2,3,2,5
50,가장맛있는족발,한식,129600,9,10,4,3,3,2
51,버거킹(Burger,패스트푸드,548712,11,230,2,3,4,4
52,땅스부대찌개,한식,30600,5,204,5,3,5,4
